,Marketing_Airline_Network,ACT_ARR_DATE,Indicator_x,Indicator_y
0,AA,2018-01-01,1.1791672720920399,1.173658754187393
1,AA,2018-01-02,1.2572083748935994,1.2719020902335392
2,AA,2018-01-03,1.1091605343493516,1.1165278622106465
3,AA,2018-01-04,0.9836902561987779,1.194039938928256
4,AA,2018-01-05,1.190249052778094,1.029797793386768
5,AA,2018-01-06,0.8146247833560616,0.863236866672174
6,AA,2018-01-07,0.7000842939816794,1.0300773429708596
7,AA,2018-01-08,0.9263814768453473,0.8931717827970485
8,AA,2018-01-09,1.061371363103885,1.1034378772970483
9,AA,2018-01-10,0.7005890220016758,0.8939286373179037
10,AA,2018-01-11,1.1007646325003257,0.9017335750161011
11,AA,2018-01-12,0.8040708599607522,0.8844199823383619
12,AA,2018-01-13,0.6430904220937848,0.7938136074596308
13,AA,2018-01-14,1.0119816097667051,1.0155615936634046
14,AA,2018-01-15,1.086935695195596,1.0468568671436032
15,AA,2018-01-16,0.9827342778531856,1.0110783848116298
16,AA,2018-01-17,0.8913181301832345,0.9427466311141838
17,AA,2018-01-18,0.7474615189805943,0.7959958924588979
18,AA,2018-01-19,0.9531612123928077,0.9933102501361699
19,AA,2018-01-20,0.9535111613061028,1.0686663199200666
20,AA,2018-01-21,0.8406549836719968,1.0423790650525218
21,AA,2018-01-22,0.998193815518624,0.8887332128610683
22,AA,2018-01-23,0.746337621975929,0.8824339627980599
23,AA,2018-01-24,1.1130822029286787,1.149665809595498
24,AA,2018-01-25,1.0032087029711616,1.018187200322692
25,AA,2018-01-26,1.0453235117686925,1.1280399454812866
26,AA,2018-01-27,0.7750310604585263,0.7718659628638694
27,AA,2018-01-28,0.9200257005409934,1.2984297715268884
28,AA,2018-01-29,1.2475763896833767,1.1504914855657573
29,AA,2018-01-30,0.9959260281847545,1.0847533054552432
30,AA,2018-01-31,0.963292636587293,1.153235817898623
31,AA,2018-02-01,1.0385972398441006,1.0981152520579525
32,AA,2018-02-02,0.9397414710734227,0.9439082469081863
33,AA,2018-02-03,0.7842107231752595,0.9096001981656704
34,AA,2018-02-04,1.243731170348784,1.5185054987491846
35,AA,2018-02-05,1.2469029759588552,1.0477834410145646
36,AA,2018-02-06,0.7530536041686425,1.0972701137891225
37,AA,2018-02-07,1.3521646509544134,0.9711083670258092
38,AA,2018-02-08,0.6715601939029069,1.004380889355794
39,AA,2018-02-09,1.0603021760160856,0.8949274594582853
40,AA,2018-02-10,0.6068531252119973,0.8023543241543866
41,AA,2018-02-11,1.2032181762603407,1.053569397705426
42,AA,2018-02-12,0.6812772724508701,0.8422561404543867
43,AA,2018-02-13,0.7336111436619691,0.8684167584282044
44,AA,2018-02-14,0.8964804684342843,1.0741770748747217
45,AA,2018-02-15,0.9813997148724865,0.9753566508775907
46,AA,2018-02-16,0.720219778887495,0.9324843361019801
47,AA,2018-02-17,0.9487734838121037,1.0489928158721296
48,AA,2018-02-18,0.8051188002502775,0.9278629206326008
49,AA,2018-02-19,0.6867545646457539,0.8749510505134274
50,AA,2018-02-20,0.8732932853131508,1.2744124370082563
51,AA,2018-02-21,1.3514464447328955,1.2892468644923059
52,AA,2018-02-22,1.1803881337184672,1.3304456475709985
53,AA,2018-02-23,0.986780371862382,1.0253156572522706
54,AA,2018-02-24,1.110838408114813,1.4502272539913292
55,AA,2018-02-25,1.0877101933759168,1.0173409316481934
56,AA,2018-02-26,0.8201555265293996,1.090011775288326
57,AA,2018-02-27,1.057552352334098,1.2081567236725288
58,AA,2018-02-28,1.0625129437537784,1.0735759754709742
59,AA,2018-03-01,1.275421025232961,1.0243550306638125
60,AA,2018-03-02,0.5770639298743209,0.6681597319246575
61,AA,2018-03-03,0.5440293717276673,0.8196956020100902
62,AA,2018-03-04,0.9512345685839675,0.8411863482343569
63,AA,2018-03-05,0.6676983262204772,0.7343364276130319
64,AA,2018-03-06,0.4990973132185748,0.7848314806554273
65,AA,2018-03-07,1.031608848930738,1.1525945079536208
66,AA,2018-03-08,1.070075675728158,1.0048625060677507
67,AA,2018-03-09,0.8110383088946477,0.7694373956099283
68,AA,2018-03-10,0.8994612382593727,0.8485465572207099
69,AA,2018-03-11,0.6533841348147985,0.9585703773150825
70,AA,2018-03-12,0.9869211212234739,1.091647612535638
71,AA,2018-03-13,0.9069347192635104,1.0159284407223035
72,AA,2018-03-14,1.0946785405380315,1.093040409188867
73,AA,2018-03-15,0.6971275281305191,0.8360340653845643
74,AA,2018-03-16,0.9050742115027829,0.9017717822249237
75,AA,2018-03-17,0.739270400564324,0.8123184089788535
76,AA,2018-03-18,0.7325016447617235,0.8550941569012332
77,AA,2018-03-19,0.8079829298978248,0.9540899876489456
78,AA,2018-03-20,0.8911557752355961,0.9012067653517523
79,AA,2018-03-21,0.8043641322724433,0.8061242166277656
80,AA,2018-03-22,0.5443214865983004,0.787729131613173
81,AA,2018-03-23,0.7979252167649591,0.8630389581635947
82,AA,2018-03-24,0.6269722881668977,0.846700868663163
83,AA,2018-03-25,0.8519312400308764,0.9967532855924857
84,AA,2018-03-26,0.7117452435858532,0.8364893926625877
85,AA,2018-03-27,0.9539111915288971,1.1657765754497948
86,AA,2018-03-28,1.1382705960942854,0.9992543526852748
87,AA,2018-03-29,0.6581442300380715,0.7829325418716652
88,AA,2018-03-30,0.5808096469853729,0.8063693137588852
89,AA,2018-03-31,0.6602250498721451,0.6735444353159868
90,AA,2018-04-01,0.6481216492014382,0.9538784982179531
91,AA,2018-04-02,0.9799341361621813,0.7751556364899194
92,AA,2018-04-03,0.7258674512922264,1.015832591422462
